CodeInsee;CodeDepartement;pays;Commune;Macron PCT;MACRON;LE PEN;MÉLENCHON;MACRON;exp;LE PEN;exp;MÉLENCHON;exp
73132;73;France;Hauteluce;24;79474548;151;193;66;24;79474548;31;69129721;10;83743842
73133;73;France;Hauteville;21;2244898;52;60;47;21;2244898;24;48979592;19;18367347
73135;73;France;La Tour-en-Maurienne;21;17177097;159;228;105;21;17177097;30;35952064;13;98135819
73137;73;France;Jacob-Bellecombette;31;3925279;647;288;523;31;3925279;13;97379913;25;37603105
73138;73;France;Jarrier;23;62204724;90;104;60;23;62204724;27;29658793;15;7480315
73139;73;France;Jarsy;20;27027027;45;29;56;20;27027027;13;06306306;25;22522523
73140;73;France;Jongieux;32;17821782;65;47;23;32;17821782;23;26732673;11;38613861
73141;73;France;Laissaud;29;27400468;125;121;52;29;27400468;28;33723653;12;17798595
73142;73;France;Landry;22;17573222;106;118;117;22;17573222;24;68619247;24;47698745
73145;73;France;Lépin-le-Lac;25;4180602;76;81;61;25;4180602;27;090301;20;40133779
73146;73;France;Lescheraines;23;23943662;99;83;116;23;23943662;19;48356808;27;23004695
73147;73;France;Loisieux;23;57142857;33;27;31;23;57142857;19;28571429;22;14285714
73149;73;France;Lucey;27;41116751;54;54;35;27;41116751;27;41116751;17;76649746
73150;73;France;La Plagne Tarentaise;28;1048234;740;543;490;28;1048234;20;62286365;18;60995063
73151;73;France;Porte-de-Savoie;28;67743344;657;493;421;28;67743344;21;51898734;18;37625491
73152;73;France;Marcieux;29;26829268;48;26;44;29;26829268;15;85365854;26;82926829
73153;73;France;Marthod;22;12086659;194;299;150;22;12086659;34;09350057;17;10376283
73154;73;France;Mercury;28;01664355;606;516;364;28;01664355;23;85575589;16;82847896
73155;73;France;Méry;25;98607889;336;305;234;25;98607889;23;58855375;18;0974478
73156;73;France;Meyrieux-Trouet;18;75;42;60;28;18;75;26;78571429;12;5
73157;73;France;Modane;29;07904278;401;313;264;29;07904278;22;69760696;19;14430747
73159;73;France;Les Mollettes;22;39382239;116;160;88;22;39382239;30;88803089;16;98841699
73160;73;France;Montagnole;30;78034682;213;154;104;30;78034682;22;25433526;15;02890173
73161;73;France;Montagny;25;73529412;105;114;44;25;73529412;27;94117647;10;78431373
73162;73;France;Montailleur;23;87706856;101;118;83;23;87706856;27;89598109;19;62174941
73164;73;France;Montcel;24;82369535;176;164;153;24;82369535;23;13117066;21;5796897
73166;73;France;Montendry;19;51219512;8;7;11;19;51219512;17;07317073;26;82926829
73168;73;France;Montgilbert;13;51351351;10;20;12;13;51351351;27;02702703;16;21621622
73170;73;France;Monthion;14;20612813;51;131;57;14;20612813;36;4902507;15;87743733
73171;73;France;Montmélian;25;46728972;436;443;415;25;46728972;25;87616822;24;24065421
73173;73;France;Montricher-Albanne;24;30167598;87;84;62;24;30167598;23;46368715;17;31843575
73175;73;France;Montsapey;25;26;28;17;25;26;92307692;16;34615385
